id;code;jhi_date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-05-28T21:09:04;Savings Account Dam;PAID;CREDIT_CARD;2019-05-29T14:30:35;96990
2;parsing red Chips;2019-05-29T11:27:43;methodology Albania;PAID;CREDIT_CARD;2019-05-29T07:04:15;23277
3;Licensed Savings Account;2019-05-29T06:41:04;Planner Canyon;PAID;CREDIT_CARD;2019-05-29T10:19:20;68423
4;infomediaries;2019-05-29T12:56:05;Buckinghamshire Games;PAID;CREDIT_CARD;2019-05-29T11:25:37;3131
5;synthesizing Views e-enable;2019-05-28T17:37:26;capacitor archive;PAID;CREDIT_CARD;2019-05-29T01:46:54;35675
6;mission-critical Faroe Islands Plastic;2019-05-28T20:36:39;Small;PAID;CREDIT_CARD;2019-05-28T22:53:57;71134
7;1080p Checking Account Identity;2019-05-29T00:14:16;Internal;PAID;CREDIT_CARD;2019-05-29T01:40:21;63755
8;COM;2019-05-29T04:31:50;Frozen bus;PAID;CREDIT_CARD;2019-05-29T05:36:09;11089
9;partnerships;2019-05-29T11:01:20;Dynamic;PAID;CREDIT_CARD;2019-05-29T10:59:24;22879
10;Generic neutral Salad;2019-05-28T17:33:04;virtual deposit;PAID;CREDIT_CARD;2019-05-29T08:13:53;90682
