id;tracking_code;jhi_date;details;invoice_id
1;contextually-based;2019-05-29T00:19:09;Jewelery cutting-edge;4
2;Hat;2019-05-29T03:02:44;Bedfordshire Bahamian Dollar;3
3;User-centric Gloves;2019-05-29T10:36:48;Oklahoma facilitate;1
4;Versatile Exclusive Moroccan Dirham;2019-05-28T22:46:09;Plastic;10
5;mission-critical;2019-05-28T16:25:30;paradigms Home;4
6;deposit Canadian Dollar Lebanon;2019-05-29T05:07:01;Dominican Republic Credit Card Account Handmade;4
7;Re-contextualized;2019-05-28T20:35:18;Point Orchestrator;4
8;bypassing optical;2019-05-29T12:14:47;Bedfordshire;7
9;HDD;2019-05-29T08:02:26;red firewall open-source;4
10;Rustic Quality;2019-05-29T06:19:19;Cambridgeshire hacking;7
