id;tracking_code;jhi_date;details;invoice_id
1;contextually-based;2019-05-29T00:14:36;Jewelery cutting-edge;4
2;Hat;2019-05-29T02:58:11;Bedfordshire Bahamian Dollar;3
3;User-centric Gloves;2019-05-29T10:32:14;Oklahoma facilitate;1
4;Versatile Exclusive Moroccan Dirham;2019-05-28T22:41:36;Plastic;10
5;mission-critical;2019-05-28T16:20:57;paradigms Home;4
6;deposit Canadian Dollar Lebanon;2019-05-29T05:02:27;Dominican Republic Credit Card Account Handmade;4
7;Re-contextualized;2019-05-28T20:30:45;Point Orchestrator;4
8;bypassing optical;2019-05-29T12:10:14;Bedfordshire;7
9;HDD;2019-05-29T07:57:53;red firewall open-source;4
10;Rustic Quality;2019-05-29T06:14:46;Cambridgeshire hacking;7
