id;code;jhi_date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-05-28T21:04:31;Savings Account Dam;PAID;CREDIT_CARD;2019-05-29T14:26:01;96990
2;parsing red Chips;2019-05-29T11:23:09;methodology Albania;PAID;CREDIT_CARD;2019-05-29T06:59:42;23277
3;Licensed Savings Account;2019-05-29T06:36:31;Planner Canyon;PAID;CREDIT_CARD;2019-05-29T10:14:46;68423
4;infomediaries;2019-05-29T12:51:31;Buckinghamshire Games;PAID;CREDIT_CARD;2019-05-29T11:21:04;3131
5;synthesizing Views e-enable;2019-05-28T17:32:53;capacitor archive;PAID;CREDIT_CARD;2019-05-29T01:42:21;35675
6;mission-critical Faroe Islands Plastic;2019-05-28T20:32:06;Small;PAID;CREDIT_CARD;2019-05-28T22:49:23;71134
7;1080p Checking Account Identity;2019-05-29T00:09:43;Internal;PAID;CREDIT_CARD;2019-05-29T01:35:48;63755
8;COM;2019-05-29T04:27:16;Frozen bus;PAID;CREDIT_CARD;2019-05-29T05:31:36;11089
9;partnerships;2019-05-29T10:56:47;Dynamic;PAID;CREDIT_CARD;2019-05-29T10:54:51;22879
10;Generic neutral Salad;2019-05-28T17:28:30;virtual deposit;PAID;CREDIT_CARD;2019-05-29T08:09:20;90682
